"ruido","algoritmo","preproc","iteracion","rmse","mae","r2"
0,"RF","regEF",10,0.219851130584039,0.155170189289012,0.982371453758663
0,"RF","regEF",11,0.208999170833451,0.150382410659273,0.983393825951055
0,"RF","regEF",12,0.225535128853672,0.157933333333333,0.981003979524552
0,"RF","regEF",13,0.21705503477322,0.153230518621114,0.982209240006298
0,"RF","regEF",14,0.216992970660356,0.150729935483871,0.982759195692156
0,"RF","regEF",15,0.22322109857259,0.159687111829945,0.981563025889423
0,"RF","regEF",16,0.210319751885418,0.151484046740467,0.983433659852207
0,"RF","regEF",17,0.21269141676044,0.151552382271468,0.983516903570768
0,"RF","regEF",18,0.225513881286157,0.156986034164358,0.980934221813846
0,"RF","regEF",19,0.220093029080618,0.154320246457178,0.981785388671991
0,"RF","regEF",20,0.224724207909137,0.157535988909427,0.980938903420366
0,"RF","regEF",21,0.210823961117363,0.150826609673444,0.983209105295825
